name,address.city,check_in_date,check_in,check_out_date,check_out,sale_price,taxes,average_rate,total_price,Manual
Hampton Inn Auburn,Auburn,9/29/2023,"Fri, Sep 29",10/1/2023,"Sun, Oct 1",206.5,48.32,230.66,461.32,1
Hilton Miami Downtown,Miami,5/5/2023,"Fri, May 5",5/8/2023,"Mon, May 8",542.91,211.74,613.49,1840.47,1
Homewood Suites by Hilton Athens Downtown University Area,Athens,9/1/2023,"Fri, Sep 1",9/3/2023,"Sun, Sep 3",904,281.2,1044.6,2089.2,1
Hampton Inn Auburn,Auburn,11/24/2023,"Fri, Nov 24",11/26/2023,"Sun, Nov 26",164.5,38.49,183.75,367.49,1
Stadium Hotel,Miami Gardens,7/21/2023,"Fri, Jul 21",7/24/2023,"Mon, Jul 24",250,97.5,282.5,847.5,1
ATHBNB :: The Rushmore,Athens,9/1/2023,"Fri, Sep 1",9/3/2023,"Sun, Sep 3",740,228.64,854.32,1708.64,1
Hampton Inn & Suites Ft. Lauderdale/Miramar,Miramar,7/21/2023,"Fri, Jul 21",7/23/2023,"Sun, Jul 23",369,95.94,416.97,833.94,1
Hyatt Regency New Orleans,New Orleans,6/16/2023,"Fri, Jun 16",6/17/2023,"Sat, Jun 17",299,51.44,350.44,350.44,1
Sonesta ES Suites New Orleans,New Orleans,6/16/2023,"Fri, Jun 16",6/17/2023,"Sat, Jun 17",165,27.73,192.73,192.73,1
Le Pavillon Hotel,New Orleans,6/16/2023,"Fri, Jun 16",6/17/2023,"Sat, Jun 17",179.25,42.82,222.07,222.07,1
Renaissance Nashville Hotel,Nashville,6/19/2023,"Mon, Jun 19",6/20/2023,"Tue, Jun 20",329,52.67,381.67,381.67,1
Hilton Nashville Downtown,Nashville,6/19/2023,"Mon, Jun 19",6/20/2023,"Tue, Jun 20",393.86,62.56,456.42,456.42,1
Sheraton Grand Nashville Downtown,Nashville,6/19/2023,"Mon, Jun 19",6/20/2023,"Tue, Jun 20",219,55.49,274.49,274.49,1
Le Méridien Houston Downtown,Houston,6/21/2023,"Wed, Jun 21",6/22/2023,"Thu, Jun 22",319,54.23,373.23,373.23,1
Marriott Marquis Houston,Houston,6/21/2023,"Wed, Jun 21",6/22/2023,"Thu, Jun 22",419,106.12,525.12,525.12,1
Hilton Americas-Houston,Houston,6/21/2023,"Wed, Jun 21",6/22/2023,"Thu, Jun 22",296,52.66,348.66,348.66,1
W Dallas - Victory,Dallas,6/24/2023,"Sat, Jun 24",6/25/2023,"Sun, Jun 25",389,67.3,456.3,456.3,1
Hotel Crescent Court,Dallas,6/24/2023,"Sat, Jun 24",6/25/2023,"Sun, Jun 25",618,148.57,766.57,766.57,1
"The Ritz-Carlton, Dallas",Dallas,6/24/2023,"Sat, Jun 24",6/25/2023,"Sun, Jun 25",849,188.21,1037.21,1037.21,1
"The Gabriel Miami Downtown, Curio Collection by Hilton",Miami,6/28/2023,"Wed, Jun 28",6/29/2023,"Thu, Jun 29",349,73.62,422.62,422.62,1
Courtyard by Marriott Miami Downtown/Brickell Area,Miami,6/28/2023,"Wed, Jun 28",6/29/2023,"Thu, Jun 29",229,29.77,258.77,258.77,1
Embassy Suites by Hilton Atlanta at Centennial Olympic Park,Atlanta,7/1/2023,"Sat, Jul 1",7/3/2023,"Mon, Jul 3",304,112.75,360.38,720.75,1
Hilton Garden Inn Atlanta Downtown,Atlanta,7/1/2023,"Sat, Jul 1",7/3/2023,"Mon, Jul 3",233.5,88.92,277.96,555.92,1
Hampton Inn & Suites Atlanta-Downtown,Atlanta,7/1/2023,"Sat, Jul 1",7/3/2023,"Mon, Jul 3",269,100.92,319.46,638.92,1
Hotel Chicago West Loop,Chicago,7/5/2023,"Wed, Jul 5",7/7/2023,"Fri, Jul 7",309,107.54,362.77,725.54,1
Chicago Marriott at Medical District/UIC,Chicago,7/5/2023,"Wed, Jul 5",7/7/2023,"Fri, Jul 7",369,128.41,433.21,866.41,1
Hyatt House Chicago / West Loop-Fulton Market,Chicago,7/5/2023,"Wed, Jul 5",7/6/2023,"Thu, Jul 6",349,60.73,409.73,409.73,1
MGM Grand Detroit,Detroit,7/8/2023,"Sat, Jul 8",7/9/2023,"Sun, Jul 9",399,79.4,478.4,478.4,1
Aloft Detroit at The David Whitney,Detroit,7/8/2023,"Sat, Jul 8",7/9/2023,"Sun, Jul 9",519,62.28,581.28,581.28,1
Courtyard by Marriott Boston Downtown/North Station,Boston,7/11/2023,"Tue, Jul 11",7/13/2023,"Thu, Jul 13",444,146.08,517.04,1034.08,1
"Hotel Indigo Boston Garden, an IHG Hotel",Boston,7/11/2023,"Tue, Jul 11",7/13/2023,"Thu, Jul 13",459,151.02,534.51,1069.02,1
Kimpton Hotel Monaco Washington DC,Washington DC,7/28/2023,"Fri, Jul 28",7/29/2023,"Sat, Jul 29",299,79.19,378.19,378.19,1
"Fairfield Inn & Suites by Marriott Washington, DC/Downtown",Washington DC,7/28/2023,"Fri, Jul 28",7/29/2023,"Sat, Jul 29",364,54.42,418.42,418.42,1
Motto by Hilton Washington DC City Center,Washington DC,7/28/2023,"Fri, Jul 28",7/29/2023,"Sat, Jul 29",259,38.72,297.72,297.72,1
