"id","name","brand","address.addr1","address.city","address.region","address.country","latitude","longitude","check_in_date","check_in","check_out_date","check_out","event","nights","sale_price","taxes","average_rate","total_price","url"
"57f23388-603d-4f8b-b5f7-baa0af8b0365","Hilton Meadowlands East Rutherford","Hilton","Two Meadowlands Plz","East Rutherford","NJ","US",40.8062,-74.07809,"2023-05-19","Fri, May 19","2023-05-20","Sat, May 20","Morgan Wallen One Night At A Time World Tour East Rutherford",1,258,45,303,303,"https://www.gohoken.com/hotels/57f23388-603d-4f8b-b5f7-baa0af8b0365/aae8f0ca-4608-472e-9c00-dbb2e89756cd"
"57f23388-603d-4f8b-b5f7-baa0af8b0365","Hilton Meadowlands East Rutherford","Hilton","Two Meadowlands Plz","East Rutherford","NJ","US",40.8062,-74.07809,"2023-05-20","Sat, May 20","2023-05-21","Sun, May 21","Morgan Wallen One Night At A Time World Tour East Rutherford",1,320,56,376,376,"https://www.gohoken.com/hotels/57f23388-603d-4f8b-b5f7-baa0af8b0365/aae8f0ca-4608-472e-9c00-dbb2e89756cd"
"f062df60-dcde-4de5-8a76-798be2893a79","Hilton Chicago","Hilton","720 S Michigan Ave","Chicago","IL","US",41.872265,-87.625266,"2023-05-20","Sat, May 20","2023-05-23","Tue, May 23","National Restaurant Association Show 2023",3,436,227,511,1535,"https://www.gohoken.com/hotels/f062df60-dcde-4de5-8a76-798be2893a79/abe25f4d-01d0-4f66-a565-0ad0cb17f39b"
"20a7736c-cb91-402f-ab3c-273a8859d7fc","Hampton Inn Carlstadt-At The Meadowlands","Hilton","304 Paterson Plank Rd","Carlstadt","NJ","US",40.82979,-74.08305,"2023-05-26","Fri, May 26","2023-05-27","Sat, May 27","The Eras Tour Taylor Swift East Rutherford",1,814,143,957,957,"https://www.gohoken.com/hotels/20a7736c-cb91-402f-ab3c-273a8859d7fc/935a7e16-4ed7-4028-8cbd-1ffa4c529880"
"5f236507-9e42-4c32-8bce-57c70013ae6c","Hampton Inn & Suites Seattle-Downtown","Hilton","700 5th Ave N","Seattle","WA","US",47.625975,-122.34691,"2023-07-18","Tue, Jul 18","2023-07-19","Wed, Jul 19","The Celebration Tour Madonna Seattle ",1,349,58,407,407,"https://www.gohoken.com/hotels/5f236507-9e42-4c32-8bce-57c70013ae6c/9e25b2bd-333a-4b89-91b9-bf302e59e120"
"b1561e79-ddec-49ba-aae0-76ffa975ea21","Homewood Suites by Hilton Seattle Downtown","Hilton","206 Western Ave W","Seattle","WA","US",47.620375,-122.359705,"2023-07-18","Tue, Jul 18","2023-07-19","Wed, Jul 19","The Celebration Tour Madonna Seattle ",1,459,74,533,533,"https://www.gohoken.com/hotels/b1561e79-ddec-49ba-aae0-76ffa975ea21/9e25b2bd-333a-4b89-91b9-bf302e59e120"
"ed0dba5a-92bc-4c31-996d-f3608c8cc3f9","Hilton Garden Inn Minneapolis University Area","Hilton","511 SE Huron Blvd","Minneapolis","MN","US",44.97096,-93.22271,"2023-07-20","Thu, Jul 20","2023-07-21","Fri, Jul 21","Beyonce Renaissance World Tour Minneapolis ",1,202,28,230,230,"https://www.gohoken.com/hotels/ed0dba5a-92bc-4c31-996d-f3608c8cc3f9/89828300-8792-4202-a07b-bb1aee1682f2"
"f062df60-dcde-4de5-8a76-798be2893a79","Hilton Chicago","Hilton","720 S Michigan Ave","Chicago","IL","US",41.872265,-87.625266,"2023-07-22","Sat, Jul 22","2023-07-23","Sun, Jul 23","Beyonce Renaissance World Tour Chicago",1,269,46,315,315,"https://www.gohoken.com/hotels/f062df60-dcde-4de5-8a76-798be2893a79/b86d43ab-a525-4289-b954-93e0f24b71b0"
"7432eb95-fa02-4c67-b7ce-b6216a3b713a","Hilton Santa Clara","Hilton","4949 Great America Parkway Santa Clara","Santa Clara","CA","US",37.40255,-121.97749,"2023-07-28","Fri, Jul 28","2023-07-29","Sat, Jul 29","The Eras Tour Taylor Swift Santa Clara",1,699,95,794,794,"https://www.gohoken.com/hotels/7432eb95-fa02-4c67-b7ce-b6216a3b713a/b43fe58f-9655-4332-b18d-ea1c83f18bd5"
"57f23388-603d-4f8b-b5f7-baa0af8b0365","Hilton Meadowlands East Rutherford","Hilton","Two Meadowlands Plz","East Rutherford","NJ","US",40.8062,-74.07809,"2023-07-29","Sat, Jul 29","2023-07-30","Sun, Jul 30","Beyonce Renaissance World Tour East Rutherford",1,280,49,329,329,"https://www.gohoken.com/hotels/57f23388-603d-4f8b-b5f7-baa0af8b0365/dd0a7413-1310-42c7-8eb6-45605e9c302e"
